Brand,Title,Category,Price,Count,Quantity,Unit,Image Link,Url,About the Product,Other Product Info,EAN Code
Mapro,"Mapro Crush - Pineapple, 1 L Bottle",beverages -> fruit juices & drinks,252,1,,pc,"['https://www.bigbasket.com/media/uploads/p/l/265684-2_2-mapro-crush-pineapple.jpg', 'https://www.bigbasket.com/media/uploads/p/l/265684-4_2-mapro-crush-pineapple.jpg', 'https://www.bigbasket.com/media/uploads/p/l/265684-6_1-mapro-crush-pineapple.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'https://www.bigbasket.com/media/uploads/p/l/265684_2-mapro-crush-pineapple.jpg']",https://www.bigbasket.com/pd/265684/mapro-crush-pineapple-1-l-bottle/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=2&t_s=Crush+-+Pineapple,"Revive your taste buds with aromatic fresh pineapples with Mapro Pineapple Crush. This exotic pineapple crush perks up the Flavour of any recipe it is used in. Add a tropical taste of this fruit to your favourite recipes along with its multiple health benefits. At Mapro foods, the Mapro foods team is committed to providing you healthy alternatives for the food you crave for! We not only specialize in creating mouth-watering fruit jams, fruit concentrates and fruit bars but also create them using organically grown fruits in the farms technically guided and supervised by Mapro, in the hill town of Panchgani.","EAN Code: 890104440626  Country Of Origin: India For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket. com Best before 22-12-2024",8.90104E+11
Dad's Hack,"Dad's Hack Berry Basil Kombucha, 330mlx6 Multipack",beverages -> energy & soft drinks,1194,330ml,6,,"['data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'https://www.bigbasket.com/media/uploads/p/l/1227487_1-dads-hack-berry-basil-kombucha.jpg']",https://www.bigbasket.com/pd/1227487/dads-hack-berry-basil-kombucha-330mlx6/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=40&t_s=Berry+Basil+Kombucha,"Dad's Hack Kombucha is an ancient tea-based elixir reinvented with modern artisanal techniques that leave its consumers feeling relaxed and energized. It is a guilt-free, non-alcoholic drink that gives a boost of energy and also uplifts the mood. The naturally fermented drink is an ideal alternative to alcohol and soft drinks, allowing consumers to socialize and unwind without worrying about a buzz or hangover afterwards. Despite being low in calories, sugar, and caffeine, Dad's Hack Kombucha still has enough flavourr to be refreshing and healthy. Furthermore, the drink is excellent for gut health, the mind, and liver detoxification since it is naturally carbonated, devoid of preservatives and chemicals, and packed with vitamins, probiotics, and amino acids. The drink can be taken first thing in the morning for its detoxifying effect, in the middle of the day for an easy pick-me-up, or mixed with Gin for a whole new drink. A stimulating strawberry, blueberry & hibiscus booch subtly spiced with aromatic organic basil. It's a perfect rose for a family lunch and sundowners with friends.","EAN Code: 1227487  FSSAI: 12719009000211  Manufactured & Marketed by: KOMBUCHERIE PRIVATE LIMITED, NO.76/6B, KODIGEHALLI VILLAGE, VIDYANAYAPURA â€“ BANGALORE, INDIA, B.B.M.P North, Karnataka-560097  Country of origin: India  Best before 20-09-2024. Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",1227487
Mapro,"Mapro Restore Amla Ginger Squash, 750 ml",beverages -> fruit juices & drinks,180,1,,RestoreAmla,"['https://www.bigbasket.com/media/uploads/p/l/40162576-2_2-mapro-restore-amla-ginger-squash.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40162576-4_2-mapro-restore-amla-ginger-squash.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40162576-6_1-mapro-restore-amla-ginger-squash.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'https://www.bigbasket.com/media/uploads/p/l/40162576_2-mapro-restore-amla-ginger-squash.jpg']",https://www.bigbasket.com/pd/40162576/mapro-restore-amla-ginger-squash-750-ml/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=29&t_s=Restore+Amla+Ginger+Squash,"Amla, the powerhouse of nutrients is known for its medicinal, health, and beauty benefits. Make a cooling drink to enjoy the health benefits and the citrus tangy taste of amla with the tinge of ginger in it by mixing the Mapro Amla Ginger Squash with chilled water.","EAN Code: 40162576  Country of origin: India  FSSAI Number: 10012022000206  Manufactured & Marketed by: Mapro Food Pvt. Ltd. , 122, Shendurjane, Wai 412803  Best before 19-12-2024  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No. 18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket. com",40162576
Taj Mahal,"Taj Mahal Tea - Fresh Lemon, 50 g (25 Bags x 2 g each)",beverages -> tea,160,1,,pc,"['https://www.bigbasket.com/media/uploads/p/l/100440649-2_2-taj-mahal-tea-fresh-lemon.jpg', 'https://www.bigbasket.com/media/uploads/p/l/100440649-4_2-taj-mahal-tea-fresh-lemon.jpg', 'https://www.bigbasket.com/media/uploads/p/l/100440649-6_2-taj-mahal-tea-fresh-lemon.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'https://www.bigbasket.com/media/uploads/p/l/100440649_5-taj-mahal-tea-fresh-lemon.jpg']",https://www.bigbasket.com/pd/100440649/taj-mahal-tea-fresh-lemon-249-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=5&t_s=Tea+-+Fresh+Lemon,"The Aromatique Experience: The Taj Mahal teabag range contains the finest teas blended with delicious, aromatic spice flavours to treat your senses to a perfect harmony of flavour and spice. Go ahead and indulge in the carefully crafted Fragrant Cardamom flavour combined with Tajs signature tea - for an experience that makes you go - Wah Taj!. 
Freedom of Choice: With Taj Mahal Teabags, you enjoy the freedom to conveniently choose the tea that you want. Choose from a range of Indian flavours - Spicy Ginger, Fragrant Cardamom, Rich Masala and Fresh Lemon. You may like to try Taj Mahal Honey & Lemon Green Tea bags as well. 
Constructed with care: At Brooke Bond Taj Mahal, we pay attention to every detail, in our commitment to excellence so that you can savour the best. Even in how our tea bags are constructed. We make them from a special kind of paper that does not disintegrate in water. Each bag is made as two chambers, which ensures that more water can contact the tea within them and thus brew faster. Introducing tea bags also meant that a new blend had to be created that was suited for instant brewing","EAN Code: 8901030520181  Country of Origin: India Manufacturer Name & Address : Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099   Best before 05-02-2025   For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email: customerservice@bigbasket. com",8.90103E+12
Dorje,"Dorje Autumn Flush Darjeeling Green Tea - Rich In Antioxidants, 250 g",beverages -> tea,699,1,250,g,"['https://www.bigbasket.com/media/uploads/p/l/40237562-2_4-dorje-autumn-flush-darjeeling-green-tea-rich-in-antioxidants.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40237562-4_4-dorje-autumn-flush-darjeeling-green-tea-rich-in-antioxidants.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40237562-6_2-dorje-autumn-flush-darjeeling-green-tea-rich-in-antioxidants.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'https://www.bigbasket.com/media/uploads/p/l/40237562_4-dorje-autumn-flush-darjeeling-green-tea-rich-in-antioxidants.jpg']",https://www.bigbasket.com/pd/40237562/dorje-autumn-flush-darjeeling-green-tea-rich-in-antioxidants-250-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=3&t_s=Autumn+Flush+Darjeeling+Green+Tea+-+Rich+In+Antioxidants,"Just before winter takes over, Selim Hill produces some of its best teas in the entire year. The Autumn Flush is the final offering of the tea bushes of the estate. The climax of a delightful year can be felt in the complexity of its cup. Winter is also the time when the veils of mist give way for a fleeting glimpse of the Kanchenjunga from Selim Hill. Maybe its the presence of these five sacred peaks that can be felt during this magical Flush.","EAN Code: 8908018220156  Country Of Origin: India  FSSAI No: 12821006000168  Manufactured by: Selim Hill Tea Estate, Darjeeling.  Marketed by: Dorje Teas, 99/5/8A, Ballygunge Place, Kol 700019  Best before 22-12-2024  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",8.90802E+12
Emperia,"Emperia Master's Blend Tea, 1 kg",beverages -> tea,529,1,1,kg,"['https://www.bigbasket.com/media/uploads/p/l/40215105-2_5-emperia-masters-blend-tea-rich-taste.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40215105-4_5-emperia-masters-blend-tea-rich-taste.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40215105-6_4-emperia-masters-blend-tea-rich-taste.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'https://www.bigbasket.com/media/uploads/p/l/40215105_5-emperia-masters-blend-tea-rich-taste.jpg']",https://www.bigbasket.com/pd/40215105/emperia-masters-blend-tea-rich-taste-1-kg/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=36&t_s=Master%2527s+Blend+Tea,,"EAN Code: 40215105 Country Of Origin: India Manufacturer name & address: Masterblend Industries Pvt. Ltd. Plot No. 12, Sector Ecotech – 12, Greater Noida Gautam Budh Nagar, Uttar Pradesh 201306Marketed by: Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016 FSSAI Number: 10019043002767 Best before 19-12-2024
Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date. For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket. com",40215105
Zevic,"Zevic Diabetic Blend Tea, 50 g (25 servings)",beverages -> tea,,1,,pc,"['https://www.bigbasket.com/media/uploads/p/l/40213695_1-zevic-diabetic-blend-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40213695-2_1-zevic-diabetic-blend-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40213695-3_1-zevic-diabetic-blend-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40213695-4_1-zevic-diabetic-blend-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40213695-5_1-zevic-diabetic-blend-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40213695-6_1-zevic-diabetic-blend-tea.jpg']",https://www.bigbasket.com/pd/40213695/zevic-diabetic-blend-tea-50-g-tin-jar/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=11&t_s=Diabetic+Blend+Tea,"Keep your blood sugar in check with Zevic’s special Diabetic Blend Herbal Tea. Blending together Ayurvedic Herbs like Gurmar, Bitter Melon, Fenugreek Seed, Jamun Seed, Milk Thistle, Paneer Dodi, Peppermint Leaves, Amla, Licorice, Cinnamon Barks, Ginger Root, and Cloves and sweetened with zero-calorie Stevia Leaves, this blend is perfect for anyone with diabetes, heart condition or someone looking to take the healthier route. Indulge in this flavorful blend that is free of sugar and packed with ingredients that will help regulate blood sugar levels while tasting great!","EAN Code: 8906108032979  FSSAI Number: 10818015000122  Manufacturer Name & Address: Zero Enthalpy Labs Pvt Ltd, Vill. Taprian, The. Raipur Rani, Distt. Panchkula (HR) - 134204, India.  Marketed by: Zero Enthalpy Labs Pvt Ltd., Vill. Taprian, Reh. Raipur Rani, Distt. Panchkula (HR) - 134204.  Country of Origin: India  Best before 17-06-2025  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",8.90611E+12
Teabox,"Teabox Darjeeling Loose Leaf Black Tea - Lopchu Flowery Orange Pekoe, Smoky Flavour, 100 g",beverages -> tea,499,1,,Lopchu,"['https://www.bigbasket.com/media/uploads/p/l/40099753-2_4-teabox-lopchu-darjeeling-black-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40099753-4_4-teabox-lopchu-darjeeling-black-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40099753-6_3-teabox-lopchu-darjeeling-black-tea.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'https://www.bigbasket.com/media/uploads/p/l/40099753_4-teabox-lopchu-darjeeling-black-tea.jpg']",https://www.bigbasket.com/pd/40099753/teabox-lopchu-darjeeling-black-tea-100-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=35&t_s=Darjeeling+Loose+Leaf+Black+Tea+-+Lopchu+Flowery+Orange+Pekoe%252C+Smoky+Flavour,"The favourite tea of every tea lover from Kolkata and around. Lopchu tea is one that is ingrained deep within ebbs of the social life of most tea lovers from Eastern India, its flavours considered classic and timeless. What we particularly enjoyed in this year's pluck were the notes of green apples and lychee. They slowly turn strong and woody, taking the experience of the tea to a whole another level of delicious.","EAN Code: 723172771034  Country of origin: India  Manufactured & Marketed by: TEAXPRESS PVT LTD., 319/9, EASTERN BYPASS ROAD, BANESHWAR MORE, SILIGURI, WEST BENGAL - 734008.  Best before 22-06-2025  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",7.23173E+11
Real,"Real Fruit Power - Coconut Water, 3 x 1 L Multipack",beverages -> fruit juices & drinks,275.4,3,1,L,"['data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'https://www.bigbasket.com/media/uploads/p/l/1223219_1-real-fruit-power-coconut-water.jpg']",https://www.bigbasket.com/pd/1223219/real-fruit-power-coconut-water-3-x-1-l/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=3&t_s=Fruit+Power+-+Coconut+Water,"Traditionally, Coconut Water is also known as ‘the dew from heavens’ to Hawaiians, it makes for a naturally refreshing drink that hydrates your body. While it is good to sip on coconut water any time of the day, drinking it daily can provide numerous benefits. It helps maintain digestive health, supports hydration, and maintains skin health. Real Coconut water contains natural electrolytes and is naturally a low-calorie product.","EAN Code: 1223219  Country Of Origin: India  FSSAI No: 10012022000036  Manufacturer Name & Address: Warana Dairy and Agro Industries Limited, Gat No. 737 A, Wathar-Warananagar Road, Village Pargaon In Warananagar Tal: Panhala Distt. Kolhapur-416113 Maharashtra India  Marketed By: Dabur India Ltd , 8/3, Asaf Ali Road , New Delhi-110002  Best Before 20-09-2024  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",1223219
Teabox,"Teabox Assam Black Tea, 40 g (16+2 Free Bags x 2.5 g each)",beverages -> tea,349,1,,pc,"['https://www.bigbasket.com/media/uploads/p/l/40099744-2_8-teabox-assam-black-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40099744-4_8-teabox-assam-black-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40099744-6_7-teabox-assam-black-tea.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']",https://www.bigbasket.com/pd/40099744/teabox-assam-black-tea-40-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=7&t_s=Assam+Black+Tea,"There is so much to love about the Assam leaf teas. They are dense, pleasantly astringent, have strong flavours, and the perfect amount of caffeine for a sip in the mornings. Featured here is one such Assam black tea from the Halmari tea estate. It lives up to one's expectations from a high-quality Assam black and a little more, thanks to the high volume of golden tips in the dry leaf mix which make it immensely flavoursome. Accommodates milk/lemon and sugar/honey.","EAN Code: 40099744  Country of Origin: India  Manufactured & Marketed by: TEAXPRESS PVT LTD., 319/9, EASTERN BYPASS ROAD, BANESHWAR MORE, SILIGURI, WEST BENGAL - 734008.  Best before 22-06-2025  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No. 18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket. com",40099744
Hershey's,"Hershey's Chocolate Syrup, 1.3 kg",beverages -> fruit juices & drinks,302.95,1,1.3,kg,"['https://www.bigbasket.com/media/uploads/p/l/40321745-2_1-hersheys-chocolate-syrup.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40321745-4_1-hersheys-chocolate-syrup.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40321745-6_1-hersheys-chocolate-syrup.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']",https://www.bigbasket.com/pd/40321745/hersheys-chocolate-syrup-13-kg/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=29&t_s=Chocolate+Syrup,"Nothing says sweet like the classic taste of HERSHEY’S SYRUP, which comes in an easy squeeze bottle. Drizzle it over any ice cream, to a glass of  milk, pancake or waffles and so much more! Add the perfect twist to your dishes with a genuine rich chocolate flavor that goes brilliantly with everything! Choose over 100+ Recipes, exclusively curated by Chef Ranveer Brar! A delicious twist to all recipes to create moments of goodness and deliciousness with your family. Made with high quality ingredients HERSHEY’S Syrup is smooth and has the right consistency that is perfect to drizzle.","EAN Code: 40321745FSSAI_10012022000243 Manufactured & Marketed By Address: HERSHEY INDIA PVT LTD, Hershey India Private Limited, Plot No. 5, New Industrial Area No. 1, Mandideep, Dist. Raisen - 462046, M.P., India Country of Origin: India Best Before 19-12-2024.Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",40321745
Sleepy Owl,"Sleepy Owl Hazelnut Cold Brew Packs, 150 g (3 Bags x 50 g each)",gourmet & world food -> drinks & beverages,285,1,150,g,"['https://www.bigbasket.com/media/uploads/p/l/40200995-2_2-sleepy-owl-hazelnut-cold-brew-packs.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40200995-4_2-sleepy-owl-hazelnut-cold-brew-packs.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40200995-6_2-sleepy-owl-hazelnut-cold-brew-packs.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']",https://www.bigbasket.com/pd/40200995/sleepy-owl-hazelnut-cold-brew-packs-150-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=12&t_s=Hazelnut+Cold+Brew+Packs,"1. The cinnamon flavour ready to use cold brew coffee bags give you a sweet and woody taste when compared to regular coffee
2. This 100% Arabica coffee is fine-tuned to enhance the flavours
3. Each package contains 3 packs of the goodness of cinnamon
4. Each pack makes 3 cups of coffee giving you a total of 9 cups in the set.
5. Vegetarian Product 6. With no added sugar and chemicals, you can be sure of your health.
7. Recyclable and Travel Friendly packaging ensures you make the right eco-friendly choice.
8. A perfect soothing drink on your stomach to start your day with.","EAN Code: 40200995  FSSAI Number: 13317008000352  Manufactured & Marketed By: Sleepy Owl Coffee Private Limited & 145/1, Ground Floor, Shahpur Jat, Delhi-110049  Country of Origin: India  Best before 21-12-2024  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",40200995
Teamonk,"Teamonk Green Tea - Zoho, Lemongrass, 20 g (10 Bags x 2 g each)",beverages -> tea,200,1,,pc,"['https://www.bigbasket.com/media/uploads/p/l/40124579-2_2-teamonk-green-tea-zoho-lemongrass.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40124579-4_2-teamonk-green-tea-zoho-lemongrass.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40124579-6_1-teamonk-green-tea-zoho-lemongrass.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']",https://www.bigbasket.com/pd/40124579/teamonk-green-tea-zoho-lemongrass-20-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=5&t_s=Green+Tea+-+Zoho%252C+Lemongrass,"How would you appreciate the peerless taste of tea for your senses- by perceiving and savouring its flavour in every single sip, as though you simply found a hidden treasure. In Zen speak, Zoho is synonymous with treasure, and what could be a better way to demonstrate this than our Zoho Lemongrass Green Tea? Lemongrass has a sensitive, botanical rose-like scent blended with a new and verdant smell, and has a high range of oxidant properties. Reviving lemongrass with its profundity of flavour wakes up when converged with our fine loose leaf green tea from Nilgiris. This citrusy, reviving green tea with hints of lemon has a fragile scent coveted with a lush fragrance, that leaves you rejuvenated.","EAN Code: 40124579 Country of origin: India Manufacturer Name & Address: Teamonk Global Foods Pvt Ltd, Plot no 319-B & 319 -A1, harohalli 2nd phase, KIADB industrial area, Ramanagara(dist. ) - 562112 Best to use for 22-06-2025 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No. 18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket. com",40124579
Tata Coffee,"Tata Coffee Grand Filter Coffee, 500 g",beverages -> coffee,272.8,1,500,g,"['https://www.bigbasket.com/media/uploads/p/l/40176778-2_7-tata-coffee-grand-filter-coffee.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40176778-4_7-tata-coffee-grand-filter-coffee.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40176778-6_3-tata-coffee-grand-filter-coffee.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']",https://www.bigbasket.com/pd/40176778/tata-coffee-grand-filter-coffee-500-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=3&t_s=Grand+Filter+Coffee,"Introducing Tata Coffee Grand Filter Coffee which leverages the deep heritage of Tata in coffee and delivers an intensely rich, fresh, and aromatic coffee. Get a fresh start to your mornings with a sip of freshly brewed coffee and be ready for an adventurous ride all day long. Containing coffee, chicory and flavour locked decoction crystals, this coffee is roasted and grounded to perfection.","EAN Code: 8901090122066  Country Of Origin: India FSSAI No: 10014031001025  Manufactured & Marketed By: Tata Global Beverages Ltd, 3rd Floor Kirloskar Business Park, Tower C, Hebbal, Bengaluru 560024.  Best before __PSL __ days from delivery date  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email: customerservice@bigbasket. com",8.90109E+12
TGL Co.,"TGL Co. Chamomile Tea Bag - Herbal, 32 g (16 Bags x 2 g each)",gourmet & world food -> drinks & beverages,241.53,1,,pc,"['https://www.bigbasket.com/media/uploads/p/l/40181136-2_6-tgl-co-chamomile-tea-bag-herbal.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40181136-4_6-tgl-co-chamomile-tea-bag-herbal.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40181136-6_6-tgl-co-chamomile-tea-bag-herbal.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']",https://www.bigbasket.com/pd/40181136/tgl-co-chamomile-tea-bag-herbal-32-g-box/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=33&t_s=Chamomile+Tea+Bag+-+Herbal,"Known for its multitude health benefits such as inducing sleep, aiding stress-relief, supporting digestion and more, Chamomile flower herbal infusions have widely gained popularity as a potent drink. This caffeine-free tisane made from dry Chamomile flowers do not contain tea leaves and hence is absolutely free of caffeine and suitable for consuming before going to bed every night.

Natural caffeine free remedy to aid stress-relief, crafted from Chamomile flowersThe dried flowers contain terpenoids and flavonoids, which lend themselves to the plantâ€™s medicinal properties. 

brand name: TGL Co

weight: 32g

pack content: pack of 2

pack size: 16 teabags

shelf life: 730 Days 

product dimension:      ?10 x 10 x 19 cm","EAN Code: 8906113481359  Country of origin: India  FSSAI NO: 11516005000774 Manufactured & Marketed By: M/s PANELLA FOODS AND BEVERAGES PRIVATE LIMITED, 501, Crescent Business Square, Kherani Road Near Sakinaka Metro Station, Andheri East, Mumbai, Maharashtra 400072.  Best Before 22-06-2025  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",8.90611E+12
